num_papers,num_authors,pct_authors
1,24240,59.01
2,6926,16.86
3,3284,7.99
4,1796,4.37
5,1198,2.92
6,819,1.99
7,588,1.43
8,434,1.06
9,300,0.73
10,232,0.56
11,199,0.48
12,127,0.31
13,115,0.28
14,120,0.29
15,85,0.21
16,78,0.19
17,57,0.14
18,38,0.09
19,39,0.09
20,34,0.08
21,40,0.1
22,29,0.07
23,25,0.06
24,27,0.07
25,15,0.04
26,13,0.03
27,22,0.05
28,16,0.04
29,8,0.02
30,10,0.02
31,11,0.03
32,12,0.03
33,13,0.03
34,7,0.02
35,8,0.02
36,11,0.03
37,7,0.02
38,10,0.02
39,8,0.02
40,3,0.01
41,4,0.01
42,3,0.01
43,4,0.01
44,3,0.01
45,2,0.0
46,5,0.01
47,2,0.0
48,5,0.01
49,4,0.01
51,3,0.01
52,3,0.01
53,5,0.01
54,1,0.0
55,3,0.01
57,4,0.01
60,1,0.0
61,1,0.0
62,1,0.0
63,1,0.0
65,1,0.0
66,1,0.0
68,1,0.0
69,1,0.0
72,3,0.01
73,2,0.0
74,1,0.0
75,1,0.0
76,1,0.0
81,1,0.0
86,2,0.0
90,1,0.0
111,1,0.0
116,1,0.0
123,1,0.0
