author_name,num_papers,total_upvotes,upvote_density
,25,1713,68.52
ByteDance Seed,15,947,63.13333333333333
Yifan Zhang,13,282,21.692307692307693
NVIDIA,13,465,35.76923076923077
Ming Li,12,340,28.333333333333332
OPPO AI Agent Team,12,536,44.666666666666664
Qwen Team,11,1849,168.0909090909091
Jintao Zhang,11,621,56.45454545454545
Byung-Kwan Lee,10,344,34.4
Yang Liu,10,135,13.5
Ling Yang,10,271,27.1
Zecheng Tang,9,198,22.0
Tong Wu,9,255,28.333333333333332
Shufan Li,8,80,10.0
Ahmed Heakl,8,142,17.75
Ali Behrouz,8,141,17.625
Fu-Yun Wang,8,130,16.25
Xi Chen,7,135,19.285714285714285
Liang Wang,7,223,31.857142857142858
Alan Dao (Gia Tuan Dao),7,80,11.428571428571429
Di Zhang,7,166,23.714285714285715
Xiang Zhang,7,94,13.428571428571429
David A. Noever,7,29,4.142857142857143
Xiangru Tang,7,177,25.285714285714285
Guanting Dong,7,466,66.57142857142857
Wei Liu,7,128,18.285714285714285
Haoran Wei,6,309,51.5
Jiaheng Liu,6,178,29.666666666666668
Wenhao Wang,6,71,11.833333333333334
Kai Li,6,67,11.166666666666666
Zhengcong Fei,6,133,22.166666666666668
Haoning Wu,6,96,16.0
Jiatao Gu,6,156,26.0
Zhengqing Yuan,6,169,28.166666666666668
Qiyuan Zhang,6,176,29.333333333333332
Jian Hu,6,185,30.833333333333332
Jiawei Wang,6,109,18.166666666666668
Kevin Qinghong Lin,6,274,45.666666666666664
Zhilin Wang,6,75,12.5
Ranjan Sapkota,6,48,8.0
Jialong Wu,6,135,22.5
Yu Zhang,6,62,10.333333333333334
Zihan Wang,6,126,21.0
Zhen Yang,6,103,17.166666666666668
Zhen Qin,6,99,16.5
Jinyang Wu,6,152,25.333333333333332
Youtu-Agent Team,6,259,43.166666666666664
Zixuan Huang,6,328,54.666666666666664
Shanchuan Lin,6,167,27.833333333333332
Yibin Wang,6,563,93.83333333333333
