author_1,author_2,num_papers
Dahua Lin,Jiaqi Wang,47
Jiaqi Wang,Yuhang Zang,47
Huajun Chen,Ningyu Zhang,42
Jiaqi Wang,Xiaoyi Dong,41
Xiaoyi Dong,Yuhang Zang,41
Caiming Xiong,Silvio Savarese,38
Dahua Lin,Yuhang Zang,37
Dahua Lin,Xiaoyi Dong,37
Furu Wei,Shaohan Huang,36
Maosong Sun,Zhiyuan Liu,36
Pengfei Wan,Xintao Wang,36
Furu Wei,Li Dong,35
Lijuan Wang,Linjie Li,33
Linjie Li,Zhengyuan Yang,33
Fei Huang,Jingren Zhou,33
Dong Yu,Haitao Mi,33
Jiaqi Wang,Yuhang Cao,33
Xiaoyi Dong,Yuhang Cao,33
Yuhang Cao,Yuhang Zang,33
Lijuan Wang,Zhengyuan Yang,32
Chao Du,Tianyu Pang,30
Juanzi Li,Lei Hou,30
Arman Cohan,Yilun Zhao,30
Dahua Lin,Yuhang Cao,30
Ge Zhang,Wenhao Huang,29
Tao Gui,Xuanjing Huang,29
Fei Huang,Pengjun Xie,29
Pengjun Xie,Yong Jiang,29
Ge Zhang,Jiaheng Liu,29
Ying Shan,Yixiao Ge,28
Fei Huang,Ming Yan,28
Jan Kautz,Pavlo Molchanov,28
Aliaksandr Siarohin,Sergey Tulyakov,28
Qi Zhang,Tao Gui,27
Qi Zhang,Xuanjing Huang,27
Jiaqi Wang,Pan Zhang,27
Dahua Lin,Kai Chen,27
Wenhai Wang,Yu Qiao,26
Dongmei Zhang,Qingwei Lin,26
Pan Zhang,Yuhang Zang,26
Di Zhang,Pengfei Wan,26
Jifeng Dai,Wenhai Wang,25
Jifeng Dai,Yu Qiao,25
Xintao Wang,Ying Shan,25
Kai Chen,Wenwei Zhang,25
Fei Huang,Yong Jiang,25
Pan Zhang,Xiaoyi Dong,25
Jifeng Dai,Xizhou Zhu,24
Ivan Skorokhodov,Sergey Tulyakov,24
Franck Dernoncourt,Ryan A. Rossi,24
Dahua Lin,Pan Zhang,24
Dahua Lin,Haodong Duan,24
Xu Han,Zhiyuan Liu,24
Aman Chadha,Vinija Jain,24
Dahua Lin,Yu Qiao,23
Hongsheng Li,Peng Gao,23
Kaipeng Zhang,Wenqi Shao,23
Bowen Yu,Junyang Lin,23
Bin Wang,Conghui He,23
Kai Chen,Songyang Zhang,23
Sergey Tulyakov,Willi Menapace,23
Xiaoye Qu,Yu Cheng,23
Conghui He,Lijun Wu,23
Jingren Zhou,Pengjun Xie,23
Dongmei Zhang,Saravan Rajmohan,22
Qingwei Lin,Saravan Rajmohan,22
Haiyang Xu,Ming Yan,22
Ion Stoica,Joseph E. Gonzalez,22
Jie Tang,Yuxiao Dong,22
Tao Gui,Zhiheng Xi,22
Dayiheng Liu,Junyang Lin,22
Jingren Zhou,Junyang Lin,22
Haodong Duan,Jiaqi Wang,22
Caiming Xiong,Huan Wang,21
Huan Wang,Silvio Savarese,21
Ximing Lu,Yejin Choi,21
Li Dong,Shaohan Huang,21
Aliaksandr Siarohin,Ivan Skorokhodov,21
Qi Zhang,Zhiheng Xi,21
Ying Shan,Yuying Ge,21
Kaipeng Zhang,Yu Qiao,21
Zhaoxi Chen,Ziwei Liu,21
Conghui He,Dahua Lin,21
Aliaksandr Siarohin,Willi Menapace,21
Yutao Zhu,Zhicheng Dou,21
Xizhou Zhu,Yu Qiao,20
Bowen Zhou,Ning Ding,20
Jianfeng Gao,Jianwei Yang,20
Hannaneh Hajishirzi,Noah A. Smith,20
Fei Huang,Haiyang Xu,20
Fei Huang,Ji Zhang,20
Ji Zhang,Ming Yan,20
Bo Li,Ziwei Liu,20
Kevin Lin,Lijuan Wang,20
Kevin Lin,Linjie Li,20
Hongsheng Li,Renrui Zhang,20
Xuanjing Huang,Zhiheng Xi,20
Dahua Lin,Ziwei Liu,20
Dian Yu,Dong Yu,20
Bryan Catanzaro,Mohammad Shoeybi,20
